DATE,TIME,実績(万kW)
2015 1 26,12 00,3443
2015 1 26,13 00,3535
2015 1 26,14 00,3512
2015 1 26,15 00,3530
2015 1 26,16 00,3715
2015 1 26,17 00,3939
2015 1 26,18 00,3932
2015 1 26,19 00,3803
2015 1 26,20 00,3685
2015 1 26,21 00,3541
2015 1 26,22 00,3446
2015 1 26,23 00,3226
2015 1 27,0 00,2965
2015 1 27,1 00,2842
2015 1 27,2 00,2781
2015 1 27,3 00,2737
2015 1 27,4 00,2765
2015 1 27,5 00,2913
2015 1 27,6 00,3266
2015 1 27,7 00,3548
2015 1 27,8 00,3740
2015 1 27,9 00,3764
2015 1 27,10 00,3591
2015 1 27,11 00,3481
2015 1 27,12 00,3218
2015 1 27,13 00,3392
2015 1 27,14 00,3365
2015 1 27,15 00,3378
2015 1 27,16 00,3547
2015 1 27,17 00,3810
2015 1 27,18 00,3833
2015 1 27,19 00,3730
2015 1 27,20 00,3627
2015 1 27,21 00,3512
2015 1 27,22 00,3443
2015 1 27,23 00,3237
2015 1 28,0 00,2999
2015 1 28,1 00,2861
2015 1 28,2 00,2795
2015 1 28,3 00,2764
2015 1 28,4 00,2800
2015 1 28,5 00,2978
2015 1 28,6 00,3407
2015 1 28,7 00,3680
2015 1 28,8 00,3902
2015 1 28,9 00,3967
2015 1 28,10 00,3825
2015 1 28,11 00,3719
2015 1 28,12 00,3539
2015 1 28,13 00,3684
2015 1 28,14 00,3698
2015 1 28,15 00,3734
2015 1 28,16 00,3917
2015 1 28,17 00,4243
2015 1 28,18 00,4297
2015 1 28,19 00,4231
2015 1 28,20 00,4137
2015 1 28,21 00,4004
2015 1 28,22 00,3866
2015 1 28,23 00,3641
2015 1 29,0 00,3347
2015 1 29,1 00,3177
2015 1 29,2 00,3065
2015 1 29,3 00,3002
2015 1 29,4 00,3015
2015 1 29,5 00,3218
2015 1 29,6 00,3735
2015 1 29,7 00,4008
2015 1 29,8 00,4125
2015 1 29,9 00,4149
2015 1 29,10 00,3999
2015 1 29,11 00,3884
